⚙️  Running in WANDB offline mode
⚙️  Running in WANDB offline mode
Loading base model: allenai/Llama-3.1-Tulu-3-8B-SFT
Loading base model: allenai/Llama-3.1-Tulu-3-8B-SFT
No custom adapter provided, initializing new LoRA config.
No custom adapter provided, initializing new LoRA config.
Final LoRA model info:
trainable params: 83,886,080 || all params: 8,114,212,864 || trainable%: 1.0338
Final LoRA model info:
trainable params: 83,886,080 || all params: 8,114,212,864 || trainable%: 1.0338
{'loss': 0.6931, 'grad_norm': 3.0975279808044434, 'learning_rate': 0.0, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -119.5, 'logps/rejected': -193.0, 'logits/chosen': -1.578125, 'logits/rejected': -1.515625, 'epoch': 0.0}
{'loss': 0.6931, 'grad_norm': 2.4684619903564453, 'learning_rate': 4e-05, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -147.0, 'logps/rejected': -106.5, 'logits/chosen': -1.6796875, 'logits/rejected': -1.6015625, 'epoch': 0.0}
{'loss': 0.7, 'grad_norm': 2.4273300170898438, 'learning_rate': 8e-05, 'rewards/chosen': -0.00069427490234375, 'rewards/rejected': 0.012451171875, 'rewards/accuracies': 0.25, 'rewards/margins': -0.01312255859375, 'logps/chosen': -91.0, 'logps/rejected': -86.5, 'logits/chosen': -1.5859375, 'logits/rejected': -1.53125, 'epoch': 0.0}
{'loss': 0.6845, 'grad_norm': 2.493631601333618, 'learning_rate': 0.00012, 'rewards/chosen': 0.0185546875, 'rewards/rejected': 0.00028228759765625, 'rewards/accuracies': 0.5, 'rewards/margins': 0.018310546875, 'logps/chosen': -139.0, 'logps/rejected': -79.0, 'logits/chosen': -1.4296875, 'logits/rejected': -1.4609375, 'epoch': 0.0}
{'loss': 0.6941, 'grad_norm': 2.017625570297241, 'learning_rate': 0.00016, 'rewards/chosen': 0.001190185546875, 'rewards/rejected': 0.00160980224609375, 'rewards/accuracies': 0.375, 'rewards/margins': -0.0004425048828125, 'logps/chosen': -87.0, 'logps/rejected': -70.5, 'logits/chosen': -1.6171875, 'logits/rejected': -1.421875, 'epoch': 0.0}
{'loss': 0.6816, 'grad_norm': 2.4273154735565186, 'learning_rate': 0.0002, 'rewards/chosen': 0.0439453125, 'rewards/rejected': 0.01806640625, 'rewards/accuracies': 0.5, 'rewards/margins': 0.02587890625, 'logps/chosen': -114.5, 'logps/rejected': -70.0, 'logits/chosen': -1.703125, 'logits/rejected': -1.515625, 'epoch': 0.0}
{'loss': 0.6978, 'grad_norm': 2.3209128379821777, 'learning_rate': 0.0001999679743795036, 'rewards/chosen': 0.08251953125, 'rewards/rejected': 0.08984375, 'rewards/accuracies': 0.5, 'rewards/margins': -0.007110595703125, 'logps/chosen': -99.5, 'logps/rejected': -91.0, 'logits/chosen': -1.4296875, 'logits/rejected': -1.65625, 'epoch': 0.01}
{'loss': 0.5775, 'grad_norm': 2.209113836288452, 'learning_rate': 0.00019993594875900722, 'rewards/chosen': 0.228515625, 'rewards/rejected': -0.026123046875, 'rewards/accuracies': 1.0, 'rewards/margins': 0.25390625, 'logps/chosen': -96.0, 'logps/rejected': -51.75, 'logits/chosen': -1.65625, 'logits/rejected': -1.6171875, 'epoch': 0.01}
{'loss': 0.6718, 'grad_norm': 2.441136598587036, 'learning_rate': 0.00019990392313851084, 'rewards/chosen': 0.0517578125, 'rewards/rejected': -0.002410888671875, 'rewards/accuracies': 0.5, 'rewards/margins': 0.05419921875, 'logps/chosen': -101.5, 'logps/rejected': -93.5, 'logits/chosen': -1.5859375, 'logits/rejected': -1.5703125, 'epoch': 0.01}
{'loss': 0.7673, 'grad_norm': 3.1624085903167725, 'learning_rate': 0.00019987189751801443, 'rewards/chosen': 0.058349609375, 'rewards/rejected': 0.17578125, 'rewards/accuracies': 0.5, 'rewards/margins': -0.11767578125, 'logps/chosen': -97.0, 'logps/rejected': -97.0, 'logits/chosen': -1.6171875, 'logits/rejected': -1.65625, 'epoch': 0.01}
{'loss': 0.7834, 'grad_norm': 3.0371601581573486, 'learning_rate': 0.00019983987189751802, 'rewards/chosen': -0.08203125, 'rewards/rejected': 0.0732421875, 'rewards/accuracies': 0.125, 'rewards/margins': -0.1552734375, 'logps/chosen': -147.0, 'logps/rejected': -87.0, 'logits/chosen': -1.6171875, 'logits/rejected': -1.65625, 'epoch': 0.01}
